,grid_id,station_count,station_ids
3,M-0038,2,"['1954806962718223342', '66dc0f1b-0aca-11e7-82f6-3863bb44ef7c']"
4,M-0039,2,"['c00ef46d-fcde-48e2-afbd-0fb595fe3fa7', '66db4417-0aca-11e7-82f6-3863bb44ef7c']"
7,M-0046,4,"['66db75cc-0aca-11e7-82f6-3863bb44ef7c', '66dbf667-0aca-11e7-82f6-3863bb44ef7c', 'ff2869f0-4381-4cf3-863e-a0d776ec53b4', '8ec47777-852d-4059-a5ea-12eef71a9606']"
11,M-0054,2,"['66dbca0f-0aca-11e7-82f6-3863bb44ef7c', '66db460d-0aca-11e7-82f6-3863bb44ef7c']"
15,M-0060,2,"['3e9e50cc-f336-439f-bd0b-dec5499c038d', '6067af3d-f7ed-4149-a394-2fc2eb295872']"
18,M-0063,2,"['e8df73bd-5d3d-47c9-b04d-bcec4db5540f', '66db7637-0aca-11e7-82f6-3863bb44ef7c']"
27,M-0081,2,"['66db930d-0aca-11e7-82f6-3863bb44ef7c', '66dbf362-0aca-11e7-82f6-3863bb44ef7c']"
29,M-0090,3,"['06439006-11b6-44f0-8545-c9d39035f32a', '1989279523593928720', '66dbf73d-0aca-11e7-82f6-3863bb44ef7c']"
34,M-0096,2,"['99142ec8-c0e7-47ca-916c-c1097d48e133', '66db6889-0aca-11e7-82f6-3863bb44ef7c']"
35,M-0097,2,"['66db6f2e-0aca-11e7-82f6-3863bb44ef7c', '1e3a16ff-65ba-4d34-b3c6-37aff44e085a']"
43,M-0106,2,"['66db3053-0aca-11e7-82f6-3863bb44ef7c', '66db2e3a-0aca-11e7-82f6-3863bb44ef7c']"
47,M-0111,2,"['66dbf518-0aca-11e7-82f6-3863bb44ef7c', '1960020817312746312']"
53,M-0121,2,"['1b038e21-e199-4c47-bef0-f4bcdc06b73b', '66db408f-0aca-11e7-82f6-3863bb44ef7c']"
54,M-0122,2,"['66db7a0d-0aca-11e7-82f6-3863bb44ef7c', 'c2800791-1911-4f2b-8fc7-bed280c557c0']"
57,M-0126,2,"['9e3603ee-2b7d-4147-a7b5-48bbd778902c', '66dc86d9-0aca-11e7-82f6-3863bb44ef7c']"
64,M-0136,2,"['66db269c-0aca-11e7-82f6-3863bb44ef7c', 'fa14408f-6e88-4668-86ee-ce10ea707f36']"
67,M-0139,2,"['f54ad1f8-fe58-49ac-82ae-b742aec66829', '66db479e-0aca-11e7-82f6-3863bb44ef7c']"
70,M-0142,2,"['66dbf062-0aca-11e7-82f6-3863bb44ef7c', '8ea09819-cd88-4732-b047-c0549f0b370f']"
73,M-0145,2,"['66db2f4c-0aca-11e7-82f6-3863bb44ef7c', '66dbefee-0aca-11e7-82f6-3863bb44ef7c']"
74,M-0146,2,"['fbee1143-e93f-418d-b6bc-8fde4a9a8746', '66db6cd4-0aca-11e7-82f6-3863bb44ef7c']"
75,M-0150,2,"['66de867e-0aca-11e7-82f6-3863bb44ef7c', '9b0c2c99-214f-4e15-b476-1626c03a9e4e']"
78,M-0153,2,"['7d5fa1f0-4069-4d5d-b735-5d500597394a', '66dc91b5-0aca-11e7-82f6-3863bb44ef7c']"
79,M-0155,2,"['66db2fd0-0aca-11e7-82f6-3863bb44ef7c', '66db4158-0aca-11e7-82f6-3863bb44ef7c']"
80,M-0157,2,"['66db4671-0aca-11e7-82f6-3863bb44ef7c', '66db72f1-0aca-11e7-82f6-3863bb44ef7c']"
82,M-0159,2,"['66db6aae-0aca-11e7-82f6-3863bb44ef7c', '93e2e1a5-49c5-41f8-a6bf-b399b6a5140d']"
89,M-0168,2,"['66db6d40-0aca-11e7-82f6-3863bb44ef7c', '53e30d38-a110-42b4-a8f9-ca801a847ac7']"
95,M-0174,2,"['645e4365-653f-48ce-bc15-5fcc287be56f', '66db76a1-0aca-11e7-82f6-3863bb44ef7c']"
96,M-0175,2,"['eb6c2359-4825-4bf4-8f2d-8b6dd2bf4212', '66dbecd0-0aca-11e7-82f6-3863bb44ef7c']"
97,M-0176,2,"['66db46d7-0aca-11e7-82f6-3863bb44ef7c', 'a0eec052-257a-4c79-8171-6e2ad9864ad0']"
103,M-0184,2,"['66ddd369-0aca-11e7-82f6-3863bb44ef7c', '412c1416-d15b-4e6a-9691-da4c3cc0d0d2']"
105,M-0186,2,"['d8778570-f7f2-458d-82f5-9ad39210a501', '66dc176f-0aca-11e7-82f6-3863bb44ef7c']"
106,M-0187,2,"['c37931bb-8571-4671-a9a8-f3cf23897680', '3edec530-4791-4872-8912-2a2397a903a4']"
107,M-0188,2,"['66dc10d1-0aca-11e7-82f6-3863bb44ef7c', '66dc1702-0aca-11e7-82f6-3863bb44ef7c']"
110,M-0191,2,"['66db9c2e-0aca-11e7-82f6-3863bb44ef7c', '3ac7b47b-2253-4a0b-bf7d-8a2eb6b78a38']"
112,M-0198,2,"['66db3273-0aca-11e7-82f6-3863bb44ef7c', 'b6a4770e-9077-4a0e-a0fb-b45b1d457559']"
115,M-0201,2,"['66db65aa-0aca-11e7-82f6-3863bb44ef7c', '66ddd545-0aca-11e7-82f6-3863bb44ef7c']"
116,M-0202,2,"['66db3ba0-0aca-11e7-82f6-3863bb44ef7c', 'aa8fc8b7-b66c-41d9-9885-30b8af599378']"
118,M-0204,2,"['ca4795a2-6ab3-4597-bf59-f0155ac1637c', 'd9160982-2d9b-4f08-9469-a559a7b62809']"
121,M-0210,3,"['66db2a71-0aca-11e7-82f6-3863bb44ef7c', '549b5bc4-b949-4eeb-8ffb-2215e1e49892', '4e862dc1-0652-4f29-a26f-315d763df67d']"
124,M-0213,3,"['66db41bf-0aca-11e7-82f6-3863bb44ef7c', '66dbcf18-0aca-11e7-82f6-3863bb44ef7c', '66db9845-0aca-11e7-82f6-3863bb44ef7c']"
126,M-0217,2,"['66dc481a-0aca-11e7-82f6-3863bb44ef7c', 'a4368364-fa79-493c-8478-1d3471a6077f']"
128,M-0219,3,"['e2fc6d90-8deb-4e21-961d-9d5208c1f986', 'cc7b86cf-a2fb-4738-b967-de7b197dc930', '66dc7802-0aca-11e7-82f6-3863bb44ef7c']"
129,M-0225,2,"['a19d37cc-6070-4e4c-b4ad-3ee21e4a11cb', '66dbc8f5-0aca-11e7-82f6-3863bb44ef7c']"
131,M-0229,2,"['a82599ce-99ca-4670-8053-baada198034a', '66db5f40-0aca-11e7-82f6-3863bb44ef7c']"
132,M-0231,2,"['0f45bcf6-7028-4584-a51e-4129847dbebc', '66db6387-0aca-11e7-82f6-3863bb44ef7c']"
137,M-0239,2,"['66db3cab-0aca-11e7-82f6-3863bb44ef7c', '7e70b65e-00c1-40d5-984d-17232a4ee05e']"
138,M-0240,2,"['66dbbc4a-0aca-11e7-82f6-3863bb44ef7c', '66db3fc9-0aca-11e7-82f6-3863bb44ef7c']"
140,M-0242,2,"['66dbe68e-0aca-11e7-82f6-3863bb44ef7c', '66db4282-0aca-11e7-82f6-3863bb44ef7c']"
141,M-0244,3,"['b30815c0-99b6-451b-be15-902992cb8abb', 'eafa19ed-88c2-4efc-bd73-3961f85b6063', '1963272613486484230']"
152,M-0259,2,"['1975518133370609774', '1975518396279321266']"
156,M-0263,2,"['66db34fc-0aca-11e7-82f6-3863bb44ef7c', '66dc7957-0aca-11e7-82f6-3863bb44ef7c']"
158,M-0269,2,"['1827839088308194240', '0c923abb-298a-4a47-b132-9fae73cc59e6']"
160,M-0271,2,"['2e74ea1d-02a0-47bf-9665-dce2d65de8d7', '66dc462a-0aca-11e7-82f6-3863bb44ef7c']"
162,M-0274,2,"['5f7ac86c-1a98-4603-8749-4bb83ac84acd', '3d340fc5-8c86-4d5e-974d-ae28958e61e8']"
164,M-0276,2,"['66dc8a3d-0aca-11e7-82f6-3863bb44ef7c', '454b4a83-d0b1-42a2-8163-261e2a9d6ab9']"
166,M-0279,2,"['66dc9223-0aca-11e7-82f6-3863bb44ef7c', '66dc89ae-0aca-11e7-82f6-3863bb44ef7c']"
167,M-0282,3,"['66db3606-0aca-11e7-82f6-3863bb44ef7c', '116dbc02-a3c1-4b65-9f73-2a09a2aa1379', '2527619f-ef89-425c-bf3b-60cc0ec519bf']"
168,M-0283,2,"['73b403cf-86fd-4f93-a484-5cb06a2abeea', '66dc11a7-0aca-11e7-82f6-3863bb44ef7c']"
178,M-0293,2,"['1893622839585237496', '61c82689-3f4c-495d-8f44-e71de8f04088']"
181,M-0300,2,"['66dc209c-0aca-11e7-82f6-3863bb44ef7c', '1d440638-ec50-4ccb-9a82-0e3247a87c63']"
183,M-0303,2,"['66dc2995-0aca-11e7-82f6-3863bb44ef7c', '1794096976946852066']"
188,M-0312,2,"['1929504694747056164', '66dc24b8-0aca-11e7-82f6-3863bb44ef7c']"
191,M-0316,2,"['1804892772559499512', '9e9acfaf-0bbf-4bc2-a825-b2befb6bee55']"
193,M-0319,2,"['5c3c345d-1975-400d-a9d8-18815816886e', '66dc4bd9-0aca-11e7-82f6-3863bb44ef7c']"
201,M-0336,2,"['547cdccc-7864-4898-97c9-8798d924ef54', '66dc78c4-0aca-11e7-82f6-3863bb44ef7c']"
205,M-0342,3,"['66dc2172-0aca-11e7-82f6-3863bb44ef7c', '66dca5f3-0aca-11e7-82f6-3863bb44ef7c', '1984510483573713186']"
207,M-0348,2,"['e51c8b72-460f-41c2-a5ca-de85d3f46a30', '66dc51e9-0aca-11e7-82f6-3863bb44ef7c']"
209,M-0351,2,"['66dc686c-0aca-11e7-82f6-3863bb44ef7c', '66ddbd20-0aca-11e7-82f6-3863bb44ef7c']"
211,M-0353,3,"['66db473c-0aca-11e7-82f6-3863bb44ef7c', '341730d7-a61d-499d-8c07-fa015f644e54', '66dbcb2f-0aca-11e7-82f6-3863bb44ef7c']"
213,M-0356,3,"['c638ec67-9ac0-416f-944f-619926144931', '66dc7f02-0aca-11e7-82f6-3863bb44ef7c', '66dc8025-0aca-11e7-82f6-3863bb44ef7c']"
215,M-0358,2,"['66dc17df-0aca-11e7-82f6-3863bb44ef7c', '66dea8ff-0aca-11e7-82f6-3863bb44ef7c']"
218,M-0369,3,"['a47f77a2-9008-4652-a4f1-b95eee723a1b', '833bc8bc-3c32-4481-9c14-9a88aa7accec', '05c5e17c-7aa9-49b7-9da3-9db4858ec1fc']"
