,lon,short_name,region_id,capacity,station_id,name,lat,rental_uris.android,rental_uris.ios,geometry,index_right,zone
0,-73.9870295,5303.06,71,69,66dbc420-0aca-11e7-82f6-3863bb44ef7c,Clinton St & Grand St,40.71559509,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.9870295 40.71559509),1351,Two Bridges/Seward Park
2,-73.9739,7502.01,71,24,66dde4ef-0aca-11e7-82f6-3863bb44ef7c,W 92 St & Broadway,40.7921,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.9739 40.7921),1492,Upper West Side North
4,-73.93077,7327.01,71,18,655ad2f2-6bcc-4eee-95a9-4f528c0b81cd,Wards Meadow Comfort Station,40.78294,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.93077 40.78294),1157,Randalls Island
5,-73.95206,7443.17,71,25,66dde76a-0aca-11e7-82f6-3863bb44ef7c,E 98 St & Park Ave,40.78813,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.95206 40.78813),411,East Harlem South
6,-73.94510813442648,8123.06,71,31,1859438049977968878,Broadway & W 157 St,40.83402740143528,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.94510813442648 40.83402740143528),1605,Washington Heights South
7,-73.97289,7458.09,71,34,1960019951675478680,W 90 St & Amsterdam Ave,40.79018,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97289 40.79018),1492,Upper West Side North
11,-73.99596,5382.06,71,45,66de85d2-0aca-11e7-82f6-3863bb44ef7c,Grand St & Elizabeth St,40.718822,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.99596 40.718822),890,Little Italy/NoLiTa
13,-73.98464,6986.07,71,44,1937777808143497236,Columbus Ave & W 59 St,40.76931,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98464 40.76931),844,Lincoln Square East
17,-73.939789,8172.07,71,27,bc9c9006-3d40-400d-8b5c-17f56e6dfcee,Amsterdam Ave & W 162 St,40.83618,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.939789 40.83618),1605,Washington Heights South
18,-73.947568,7898.03,71,21,b371c432-b682-412f-9b85-8df84ce7a9f3,St Nicholas Ave & W 137 St,40.818477,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.947568 40.818477),951,Manhattanville
19,-73.97422494,5575.08,71,41,66db9c2e-0aca-11e7-82f6-3863bb44ef7c,Ave D & E 12 St,40.72580614,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97422494 40.72580614),0,Alphabet City
22,-73.97948148,5181.04,71,36,66db93a1-0aca-11e7-82f6-3863bb44ef7c,Cherry St,40.71219906,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97948148 40.71219906),1351,Two Bridges/Seward Park
27,-73.97282625,6464.08,71,34,66dc17df-0aca-11e7-82f6-3863bb44ef7c,E 45 St & 3 Ave,40.75255434,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.97282625 40.75255434),1390,UN/Turtle Bay South
29,-73.928808,8394.15,71,21,d45b62b9-7d6b-43b2-bf1e-2c898c55dfd2,Amsterdam Ave & W 186 St,40.851113,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.928808 40.851113),1555,Washington Heights North
33,-73.936153,7809.13,71,22,a4d041fd-c5fa-4f52-800c-25d7a661a875,E 138 St & 5 Ave,40.81449,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.936153 40.81449),350,East Harlem North
35,-74.00293877,5880.02,71,60,66dbe571-0aca-11e7-82f6-3863bb44ef7c,W 4 St & 7 Ave S,40.73401143,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.00293877 40.73401143),1697,West Village
37,-73.98131668567657,5584.05,71,69,645e4365-653f-48ce-bc15-5fcc287be56f,E 7 St & Ave B,40.7251285241158,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98131668567657 40.7251285241158),451,East Village
38,-73.931205,8353.02,71,23,ceb179f3-89c3-4c3e-8a0a-3415406a9463,Amsterdam Ave & W 180 St,40.847396,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.931205 40.847396),663,Highbridge Park
40,-73.9596214,7727.07,71,29,1b00fb53-da32-4b14-9a9a-84a391c8951c,Amsterdam Ave & W 119 St,40.8086249,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.9596214 40.8086249),1084,Morningside Heights
42,-73.98734897375107,6560.15,71,68,0fde06c2-632c-46a9-8866-f4e855604f74,Broadway & W 38 St,40.7529728216068,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98734897375107 40.7529728216068),524,Garment District
49,-73.98255,6667.04,71,62,0b009276-767c-47ee-a4d2-7633d4f95d95,W 47 St & 6 Ave,40.758397,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.98255 40.758397),1301,Times Sq/Theatre District
53,-73.945446,8210.01,71,19,59af018a-2ee9-489a-b445-bb6fba9c1119,W 163 St & Riverside Dr,40.839278,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.945446 40.839278),1605,Washington Heights South
55,-73.928489,8528.05,71,21,3d68a3fd-91da-49e8-9cd5-69b333863789,Nagle Ave & Ellwood St,40.86012,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.928489 40.86012),1555,Washington Heights North
57,-73.937878,8458.03,71,20,b4974d89-932c-4a9f-a264-2ea0cf70613e,Pinehurst Ave & W 187 St,40.855331,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.937878 40.855331),1555,Washington Heights North
60,-74.01167797,4962.08,71,49,66db447a-0aca-11e7-82f6-3863bb44ef7c,Broad St & Bridge St,40.70365182,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-74.01167797 40.70365182),495,Financial District South
61,-73.9311847,7579.01,71,21,20ff5447-eac3-43b7-820f-f6fa3a2e12a8,Pleasant Ave & E 120 St,40.7974772,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.9311847 40.7974772),350,East Harlem North
67,-73.96527,6830.04,71,51,1960020234227886806,3 Ave & E 62 St,40.76313,https://bkn.lft.to/lastmile_qr_scan,https://bkn.lft.to/lastmile_qr_scan,POINT (-73.96527 40.76313),821,Lenox Hill West
