CAMIS,DBA,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,inspection_times,violation_times,normalized_name,in_yelp_by_name,yelp_lat,yelp_lon,normalized_phone,in_yelp_by_phone,in_yelp_by_name_or_phone,distance_by_name_or_phone,yelp_combined_match_confidence
40366574,BLARNEY STONE,11,TRINITY PLACE,10006.0,6466698197,Irish,2025-01-14,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,9.0,A,01/14/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.706523941132,-74.013846556301,101.0,1.0,1300.0,1000803.0,1000200004.0,MN25,3,2,blarneystone,True,40.74988,-73.99474,6466698197,False,True,5082.709144743834,low
40373912,THE MALT HOUSE,206,THOMPSON STREET,10012.0,2122287701,American,2024-07-09,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12.0,A,07/09/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.728787588835,-73.999350555867,102.0,1.0,6500.0,1077847.0,1005370037.0,MN23,3,3,themalthouse,True,40.709659,-74.009262,2122287701,False,True,2285.139914231959,low
40392668,LUCYS,135,AVENUE A,10009.0,2126733824,American,2023-11-28,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,17.0,,,05/26/2025,Cycle Inspection / Initial Inspection,40.726930855128,-73.982905665238,103.0,2.0,3200.0,1082477.0,1004360030.0,MN22,2,2,lucys,True,40.831085401872215,-73.99237504467817,2126733824,False,True,11608.87080436476,low
40399099,STARBUCKS,1445,1 AVENUE,10021.0,2124727784,Coffee/Tea,2025-03-20,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,12.0,A,03/20/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.769845691663,-73.95451438349,108.0,5.0,13400.0,1045148.0,1014500023.0,MN31,5,4,starbucks,True,40.72023566,-74.00095858,2124727784,False,True,6763.072931199831,low
40399787,STARBUCKS,1128,3 AVENUE,10065.0,2124726535,Coffee/Tea,2025-01-27,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,01/27/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.76581959068,-73.963477256177,108.0,4.0,12000.0,1042435.0,1014000040.0,MN40,3,3,starbucks,True,40.72023566,-74.00095858,2124726535,False,True,5971.813035985303,low
40400039,CAFE GITANE,242,MOTT STREET,10012.0,6468700087,French,2025-03-20,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13.0,A,03/20/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.723262258006,-73.99479405618,102.0,1.0,4300.0,1007914.0,1005080053.0,MN24,8,7,cafegitane,True,40.7028272982236,-73.9812811999999,6468700087,False,True,2541.7163059003888,low
40400204,STARBUCKS,585,2 AVENUE,10016.0,2126841299,Coffee/Tea,2024-10-09,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,7.0,A,10/09/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.74356303613,-73.97670863535,106.0,4.0,7000.0,1020092.0,1009130028.0,MN20,4,2,starbucks,True,40.72023566,-74.00095858,2126841299,False,True,3302.0222011114847,low
40400483,STARBUCKS,2252,BROADWAY,10024.0,2127211267,Coffee/Tea,2025-02-27,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,02/27/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.784916023812,-73.979160478858,107.0,6.0,16700.0,1070992.0,1012287501.0,MN12,3,2,starbucks,True,40.72023566,-74.00095858,2127211267,False,True,7422.811645168129,low
40401934,BROOKLYN DINER,888,7 AVENUE,10106.0,2129772280,American,2024-10-18,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,10/18/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.76500853812,-73.980415789365,105.0,6.0,13700.0,1024895.0,1010280029.0,MN17,3,3,brooklyndiner,True,40.756577,-73.9856053,2129772280,False,True,1034.4215889574782,low
40512123,GREEN SYMPHONY,547,6 AVENUE,10011.0,2129293752,Vegetarian,2024-05-23,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,13.0,A,05/23/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.737853494706,-73.996488914149,104.0,3.0,8100.0,1014530.0,1007900040.0,MN13,1,1,greensymphony,True,40.75796,-73.988714,2129293752,False,True,2329.7018799124694,low
40523972,STARBUCKS,24,STATE STREET,10004.0,2124821180,Coffee/Tea,2025-04-17,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,7.0,A,04/17/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.703526585057,-74.014386928913,101.0,1.0,900.0,1000021.0,1000090029.0,MN25,5,3,starbucks,True,40.72023566,-74.00095858,2124821180,False,True,2175.5554807492,low
40532870,STARBUCKS,124,8 AVENUE,10011.0,2124622020,Coffee/Tea,2025-05-20,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5.0,A,05/20/2025,05/26/2025,Cycle Inspection / Initial Inspection,40.741199405728,-74.001450696472,104.0,3.0,8100.0,1076135.0,1007667502.0,MN13,5,3,starbucks,True,40.72023566,-74.00095858,2124622020,False,True,2331.43095839372,low
40566617,STARBUCKS,750,7 AVENUE,10019.0,2129740032,Coffee/Tea,2024-04-23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,7.0,A,04/23/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.760746417645,-73.983525051517,105.0,3.0,12500.0,1024795.0,1010210026.0,MN17,5,4,starbucks,True,40.72023566,-74.00095858,2129740032,False,True,4737.996131142312,low
40570278,STARBUCKS,370,7 AVENUE,10001.0,2129672041,Coffee/Tea,2024-10-21,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,10/21/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.74878293031,-73.992244022445,105.0,3.0,10100.0,1014343.0,1007800036.0,MN17,3,0,starbucks,True,40.72023566,-74.00095858,2129672041,False,True,3258.1276382346355,low
40570775,STARBUCKS,48,WEST   73 STREET,10023.0,2125797834,Coffee/Tea,2024-07-08,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,8.0,A,07/08/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.77772993905,-73.977462103756,107.0,6.0,15700.0,1028646.0,1011250062.0,MN14,5,5,starbucks,True,40.72023566,-74.00095858,2125797834,False,True,6692.461885499363,low
40581382,STARBUCKS,2045,BROADWAY,10023.0,2124961551,Coffee/Tea,2024-03-19,Violations were cited in the following area(s).,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,Not Critical,5.0,A,03/19/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.77758807648,-73.982408780007,107.0,6.0,15900.0,1030373.0,1011620029.0,MN14,3,2,starbucks,True,40.72023566,-74.00095858,2124961551,False,True,6565.948724103763,low
40587698,STARBUCKS,540,COLUMBUS AVENUE,10024.0,2124964163,Coffee/Tea,2025-05-23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,10.0,A,05/23/2025,05/26/2025,Cycle Inspection / Re-inspection,40.78658608086,-73.972107344375,107.0,6.0,17300.0,1032201.0,1012170035.0,MN12,4,4,starbucks,True,40.72023566,-74.00095858,2124964163,False,True,7767.77855573075,low
40591269,STARBUCKS,195,BROADWAY,10007.0,2123851104,Coffee/Tea,2024-07-09,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",Critical,11.0,A,07/09/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.710529012969,-74.009378280217,101.0,1.0,1300.0,1001227.0,1000800001.0,MN25,3,2,starbucks,True,40.72023566,-74.00095858,2123851104,False,True,1291.7109990138122,low
40602855,STARBUCKS,462,7 AVENUE,10018.0,2122796432,Coffee/Tea,2024-12-06,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,2.0,A,12/06/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.751747104858,-73.990074503944,105.0,3.0,10900.0,1014429.0,1007850037.0,MN17,3,0,starbucks,True,40.72023566,-74.00095858,2122796432,False,True,3621.928456727286,low
40602866,STARBUCKS,444,COLUMBUS AVENUE,10024.0,2127692296,Coffee/Tea,2024-07-08,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,07/08/2024,05/26/2025,Cycle Inspection / Initial Inspection,40.783476805391,-73.974376358687,107.0,6.0,16500.0,1032052.0,1012127501.0,MN12,3,0,starbucks,True,40.72023566,-74.00095858,2127692296,False,True,7379.983971870008,low
40616482,THE CARNEGIE CIGAR CLUB AND LOUNGE,156,WEST   56 STREET,10019.0,2129809476,American,2023-10-25,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,10/25/2023,05/26/2025,Cycle Inspection / Re-inspection,40.764530845901,-73.979813065911,105.0,4.0,13700.0,1076177.0,1010087503.0,MN17,3,3,thecarnegiecigarclubandlounge,False,40.75251,-73.96758,2129809476,True,True,1687.6824414957002,low
40640688,SPIRIT OF NEW JERSEY,PIER 62,WEST 23 STREET - CHELSEA PIER,10014.0,2127277735,American,2019-05-22,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Critical,9.0,A,05/22/2019,05/26/2025,Cycle Inspection / Initial Inspection,40.748371167461,-74.008445265181,104.0,3.0,9900.0,1012258.0,1006620062.0,MN13,3,3,spiritofnewjersey,True,40.7605812,-74.019854,2127277735,False,True,1663.372899398885,low
