main_location,geometry
"20 LINCOLN CENTER PLAZA, WEST   62 STREET","POLYGON ((-73.9819978981981876 40.7717692000000014, -73.9820065743663520 40.7715925925399461, -73.9820325193145862 40.7714176859062789, -73.9820754831788463 40.7712461645454880, -73.9821350521936694 40.7710796803020443, -73.9822106526768408 40.7709198365102239, -73.9823015565544040 40.7707681725531188, -73.9824068883723100 40.7706261490375468, -73.9825256337275903 40.7704951337275929, -73.9826566490375370 40.7703763883723198, -73.9827986725531161 40.7702710565544137, -73.9829503365102141 40.7701801526768506, -73.9831101803020346 40.7701045521936720, -73.9832766645454853 40.7700449831788632, -73.9834481859062691 40.7700020193145889, -73.9836230925399434 40.7699760743663546, -73.9837996999999916 40.7699673981981974, -73.9839763074600398 40.7699760743663546, -73.9841512140937141 40.7700020193145889, -73.9843227354544979 40.7700449831788632, -73.9844892196979487 40.7701045521936720, -73.9846490634897691 40.7701801526768506, -73.9848007274468671 40.7702710565544137, -73.9849427509624462 40.7703763883723198, -73.9850737662723930 40.7704951337275929, -73.9851925116276732 40.7706261490375468, -73.9852978434455792 40.7707681725531188, -73.9853887473231424 40.7709198365102239, -73.9854643478063139 40.7710796803020443, -73.9855239168211369 40.7712461645454880, -73.9855668806853970 40.7714176859062789, -73.9855928256336313 40.7715925925399461, -73.9856015018017956 40.7717692000000014, -73.9855928256336313 40.7719458074600567, -73.9855668806853970 40.7721207140937238, -73.9855239168211369 40.7722922354545148, -73.9854643478063139 40.7724587196979584, -73.9853887473231424 40.7726185634897789, -73.9852978434455792 40.7727702274468840, -73.9851925116276732 40.7729122509624560, -73.9850737662723930 40.7730432662724098, -73.9849427509624462 40.7731620116276829, -73.9848007274468671 40.7732673434455890, -73.9846490634897691 40.7733582473231522, -73.9844892196979487 40.7734338478063307, -73.9843227354544979 40.7734934168211396, -73.9841512140937141 40.7735363806854139, -73.9839763074600398 40.7735623256336481, -73.9837996999999916 40.7735710018018054, -73.9836230925399434 40.7735623256336481, -73.9834481859062691 40.7735363806854139, -73.9832766645454853 40.7734934168211396, -73.9831101803020346 40.7734338478063307, -73.9829503365102141 40.7733582473231522, -73.9827986725531161 40.7732673434455890, -73.9826566490375370 40.7731620116276829, -73.9825256337275903 40.7730432662724098, -73.9824068883723100 40.7729122509624560, -73.9823015565544040 40.7727702274468840, -73.9822106526768408 40.7726185634897789, -73.9821350521936694 40.7724587196979584, -73.9820754831788463 40.7722922354545148, -73.9820325193145862 40.7721207140937238, -73.9820065743663520 40.7719458074600567, -73.9819978981981876 40.7717692000000014))"
Studio 54,"POLYGON ((-73.9839362000000023 40.7642717000000019, -73.9838941000000005 40.7642538999999999, -73.9839108000000039 40.7642311000000035, -73.9838423000000063 40.7642020999999986, -73.9838256999999970 40.7642249000000021, -73.9837791000000067 40.7642050999999981, -73.9836212000000017 40.7644204999999999, -73.9836951999999997 40.7644529000000020, -73.9837779000000069 40.7644868000000002, -73.9839362000000023 40.7642717000000019))"
American Airlines Theatre,"POLYGON ((-73.9883636999999936 40.7570978999999980, -73.9881124000000057 40.7569912000000016, -73.9880555000000015 40.7569670999999971, -73.9878748000000002 40.7572133999999977, -73.9881830000000065 40.7573440999999974, -73.9883636999999936 40.7570978999999980))"
Central Park,"POLYGON ((-73.9814075000000031 40.7684557999999981, -73.9813532000000009 40.7684004999999985, -73.9812953999999934 40.7683388000000022, -73.9812665999999979 40.7682979000000003, -73.9812423999999993 40.7682578000000007, -73.9812249999999949 40.7682235999999989, -73.9812053999999932 40.7681646999999998, -73.9811983000000026 40.7681234000000003, -73.9811957999999947 40.7680758999999995, -73.9811947000000032 40.7680529000000007, -73.9811957999999947 40.7680233999999970, -73.9812024000000008 40.7679924999999983, -73.9812165999999962 40.7679435000000012, -73.9812093999999973 40.7679175999999970, -73.9811957999999947 40.7678954000000004, -73.9811787000000010 40.7678877000000028, -73.9810501999999985 40.7678317000000021, -73.9791766000000024 40.7670322999999968, -73.9763836000000055 40.7658541999999997, -73.9737496000000050 40.7647437999999980, -73.9737147999999962 40.7647331000000008, -73.9736853999999937 40.7647274999999993, -73.9736453000000012 40.7647308000000024, -73.9736202999999932 40.7647395999999986, -73.9735998999999964 40.7647514000000015, -73.9735861000000057 40.7647683000000001, -73.9732908999999950 40.7651705000000035, -73.9732537999999948 40.7651991999999979, -73.9732245000000006 40.7652162999999987, -73.9731998000000033 40.7652270000000030, -73.9731527999999940 40.7652351999999993, -73.9731074000000035 40.7652342000000019, -73.9730737999999945 40.7652301999999978, -73.9730317000000070 40.7652191999999971, -73.9726548000000008 40.7650614000000004, -73.9726265000000041 40.7650993000000028, -73.9725695999999999 40.7651788000000010, -73.9724767999999955 40.7653040000000004, -73.9722517000000011 40.7656120999999985, -73.9715326000000033 40.7665973000000008, -73.9709529999999944 40.7673907000000000, -73.9708815999999985 40.7674882999999966, -73.9704918000000049 40.7680223999999995, -73.9704097000000047 40.7681350000000009, -73.9699763999999931 40.7686749000000006, -73.9699118999999996 40.7687627999999975, -73.9685290000000037 40.7706530000000029, -73.9662265000000048 40.7738129000000029, -73.9656176999999957 40.7746545999999981, -73.9640526000000023 40.7768009999999990, -73.9637321000000014 40.7772390000000016, -73.9635111000000052 40.7775415999999993, -73.9634939999999972 40.7775656999999967, -73.9634736999999944 40.7775943999999981, -73.9634089000000046 40.7776896000000022, -73.9633886000000018 40.7777160999999992, -73.9633390000000048 40.7776932000000016, -73.9633311999999989 40.7776914000000019, -73.9633258000000069 40.7776925000000006, -73.9633211000000017 40.7776951000000025, -73.9631581000000011 40.7779237000000023, -73.9627897999999959 40.7784331000000009, -73.9627195000000057 40.7785304000000011, -73.9623346999999995 40.7790626999999972, -73.9622595000000018 40.7791666999999975, -73.9618727000000007 40.7797017999999980, -73.9617978999999934 40.7798050999999973, -73.9614640000000065 40.7802616999999969, -73.9615543000000031 40.7803339000000022, -73.9614810000000062 40.7804146000000003, -73.9611242000000004 40.7808831999999981, -73.9610478999999970 40.7809600000000003, -73.9605506000000048 40.7816660000000013, -73.9588853999999998 40.7839458999999991, -73.9587388000000061 40.7841555999999983, -73.9586307000000005 40.7843102000000002, -73.9575733000000071 40.7857066999999986, -73.9558772000000033 40.7880529999999979, -73.9554171999999994 40.7886997000000022, -73.9552970999999957 40.7888634999999979, -73.9535256000000061 40.7912073999999976, -73.9531393000000037 40.7917411000000030, -73.9531127999999995 40.7917798000000005, -73.9530522999999960 40.7918681000000021, -73.9522388000000035 40.7929766999999970, -73.9518348000000003 40.7935350999999997, -73.9516863000000058 40.7937493000000018, -73.9512675000000002 40.7943242999999995, -73.9508105000000029 40.7949343000000013, -73.9507494000000065 40.7950220999999971, -73.9503031999999934 40.7956391999999965, -73.9499363999999986 40.7961426000000031, -73.9498487000000040 40.7962601999999990, -73.9496630999999951 40.7965178999999978, -73.9496060999999969 40.7965935000000002, -73.9496115999999972 40.7966059999999970, -73.9496189000000044 40.7966161000000014, -73.9496299000000050 40.7966288000000006, -73.9496410999999938 40.7966385000000002, -73.9496618000000012 40.7966472999999965, -73.9496802000000031 40.7966549000000001, -73.9497027000000031 40.7966667999999970, -73.9497243999999938 40.7966814999999983, -73.9497422000000029 40.7966959000000031, -73.9497575000000040 40.7967123000000029, -73.9497688000000011 40.7967263999999972, -73.9498013999999984 40.7967913000000024, -73.9498018999999971 40.7968361000000002, -73.9497937999999948 40.7968655999999967, -73.9497838999999999 40.7968923999999973, -73.9497731000000016 40.7969178000000028, -73.9497625999999997 40.7969378000000020, -73.9497590999999943 40.7969466999999995, -73.9497570999999994 40.7969586000000035, -73.9497623000000033 40.7969689999999972, -73.9497673000000049 40.7969774999999970, -73.9497882999999945 40.7969865000000027, -73.9502607999999952 40.7971833000000004, -73.9509738999999939 40.7974831000000009, -73.9510382999999933 40.7975100000000026, -73.9523530000000022 40.7980660999999998, -73.9527042999999935 40.7982164000000012, -73.9551260000000070 40.7992369999999980, -73.9555924999999945 40.7994308999999973, -73.9559873000000039 40.7995974000000032, -73.9576536000000004 40.8002923000000024, -73.9576827000000065 40.8003047999999993, -73.9577048999999960 40.8003106999999972, -73.9577265000000068 40.8003135000000015, -73.9577424000000008 40.8003117000000017, -73.9577601999999956 40.8003076999999976, -73.9578120999999982 40.8002815999999981, -73.9578357000000040 40.8002711000000033, -73.9578609000000000 40.8002612000000013, -73.9578853000000009 40.8002522999999968, -73.9579135000000036 40.8002443000000028, -73.9579530999999974 40.8002352000000030, -73.9580389999999994 40.8002110999999985, -73.9580741999999987 40.8002065000000016, -73.9581067000000019 40.8002035000000021, -73.9581390000000027 40.8001995999999991, -73.9581701999999979 40.8001952999999986, -73.9581900999999959 40.8001932000000025, -73.9582003999999955 40.8001915999999980, -73.9582115999999985 40.8001889000000020, -73.9582225000000051 40.8001852000000014, -73.9582321999999976 40.8001811999999973, -73.9582453999999956 40.8001744000000031, -73.9582594000000029 40.8001648999999986, -73.9584444000000047 40.7999135000000024, -73.9587262999999950 40.7995305999999971, -73.9588183999999984 40.7994129000000001, -73.9589165000000008 40.7992930999999999, -73.9589603999999952 40.7992378000000002, -73.9589861999999982 40.7992084999999989, -73.9590606999999949 40.7991133000000019, -73.9597760000000051 40.7981253000000024, -73.9599616999999938 40.7978696999999997, -73.9607173999999929 40.7968272000000027, -73.9606921999999969 40.7968164999999985, -73.9607376999999957 40.7967535000000012, -73.9607632000000024 40.7967640999999972, -73.9613456000000014 40.7959607000000020, -73.9613681999999955 40.7959290000000010, -73.9626286999999962 40.7942006999999975, -73.9639877999999982 40.7923870999999991, -73.9645157000000069 40.7916521000000003, -73.9646044999999930 40.7915356000000031, -73.9656509999999940 40.7900902000000016, -73.9661212000000035 40.7894415000000023, -73.9672728000000035 40.7878735999999975, -73.9673372000000029 40.7877835999999974, -73.9682398000000063 40.7865399000000011, -73.9690437000000003 40.7854255000000023, -73.9691129999999930 40.7853302999999983, -73.9692205999999999 40.7851953999999992, -73.9692564000000061 40.7851403000000019, -73.9696589999999929 40.7845840000000024, -73.9697076000000067 40.7845135000000028, -73.9700241999999974 40.7840726000000018, -73.9702618999999970 40.7837519999999998, -73.9704966000000042 40.7834445000000017, -73.9714694999999978 40.7821004999999985, -73.9714883999999984 40.7820679000000013, -73.9716566000000029 40.7818430000000021, -73.9725365000000039 40.7806501999999966, -73.9726547000000068 40.7804910999999990, -73.9731419999999957 40.7798279000000008, -73.9734014999999943 40.7794669000000027, -73.9734705999999989 40.7793708000000024, -73.9737120000000061 40.7790431999999967, -73.9741142999999965 40.7784887999999981, -73.9748347999999964 40.7774860999999973, -73.9757405999999946 40.7762342999999987, -73.9758687000000066 40.7760768999999996, -73.9762831000000034 40.7755038000000027, -73.9771741999999932 40.7742872000000034, -73.9771961999999945 40.7742602000000005, -73.9780733000000055 40.7730566999999979, -73.9781444999999991 40.7729298000000000, -73.9786493999999948 40.7722559999999987, -73.9789928000000003 40.7717669000000029, -73.9790603999999945 40.7716806999999974, -73.9792111999999946 40.7714634000000018, -73.9797693000000010 40.7707071000000028, -73.9797918000000010 40.7706802000000010, -73.9803189000000003 40.7699787000000029, -73.9808308000000068 40.7692431999999982, -73.9808881999999954 40.7691597999999971, -73.9809436999999974 40.7690782999999968, -73.9812637999999936 40.7686118000000022, -73.9812971000000061 40.7685782000000003, -73.9813785000000053 40.7684878999999967, -73.9814003000000042 40.7684637999999993, -73.9814075000000031 40.7684557999999981))"
WALL STREET,"POLYGON ((-74.0050502981981992 40.7047147999999979, -74.0050589743663636 40.7045381925399425, -74.0050849193145979 40.7043632859062754, -74.0051278831788579 40.7041917645454845, -74.0051874521936810 40.7040252803020408, -74.0052630526768525 40.7038654365102204, -74.0053539565544156 40.7037137725531153, -74.0054592883723217 40.7035717490375433, -74.0055780337276019 40.7034407337275894, -74.0057090490375487 40.7033219883723163, -74.0058510725531278 40.7032166565544102, -74.0060027365102258 40.7031257526768471, -74.0061625803020462 40.7030501521936685, -74.0063290645454970 40.7029905831788597, -74.0065005859062808 40.7029476193145854, -74.0066754925399550 40.7029216743663511, -74.0068521000000032 40.7029129981981939, -74.0070287074600515 40.7029216743663511, -74.0072036140937257 40.7029476193145854, -74.0073751354545095 40.7029905831788597, -74.0075416196979603 40.7030501521936685, -74.0077014634897807 40.7031257526768471, -74.0078531274468787 40.7032166565544102, -74.0079951509624578 40.7033219883723163, -74.0081261662724046 40.7034407337275894, -74.0082449116276848 40.7035717490375433, -74.0083502434455909 40.7037137725531153, -74.0084411473231540 40.7038654365102204, -74.0085167478063255 40.7040252803020408, -74.0085763168211486 40.7041917645454845, -74.0086192806854086 40.7043632859062754, -74.0086452256336429 40.7045381925399425, -74.0086539018018073 40.7047147999999979, -74.0086452256336429 40.7048914074600532, -74.0086192806854086 40.7050663140937203, -74.0085763168211486 40.7052378354545112, -74.0085167478063255 40.7054043196979549, -74.0084411473231540 40.7055641634897754, -74.0083502434455909 40.7057158274468804, -74.0082449116276848 40.7058578509624525, -74.0081261662724046 40.7059888662724063, -74.0079951509624578 40.7061076116276794, -74.0078531274468787 40.7062129434455855, -74.0077014634897807 40.7063038473231487, -74.0075416196979603 40.7063794478063272, -74.0073751354545095 40.7064390168211361, -74.0072036140937257 40.7064819806854103, -74.0070287074600515 40.7065079256336446, -74.0068521000000032 40.7065166018018019, -74.0066754925399550 40.7065079256336446, -74.0065005859062808 40.7064819806854103, -74.0063290645454970 40.7064390168211361, -74.0061625803020462 40.7063794478063272, -74.0060027365102258 40.7063038473231487, -74.0058510725531278 40.7062129434455855, -74.0057090490375487 40.7061076116276794, -74.0055780337276019 40.7059888662724063, -74.0054592883723217 40.7058578509624525, -74.0053539565544156 40.7057158274468804, -74.0052630526768525 40.7055641634897754, -74.0051874521936810 40.7054043196979549, -74.0051278831788579 40.7052378354545112, -74.0050849193145979 40.7050663140937203, -74.0050589743663636 40.7048914074600532, -74.0050502981981992 40.7047147999999979))"
Dag Hammarskjold Plaza,"POLYGON ((-73.9699791999999974 40.7526398999999984, -73.9699538999999930 40.7526292000000012, -73.9699171999999976 40.7526829000000035, -73.9683511000000067 40.7520337999999995, -73.9683736000000067 40.7520037999999971, -73.9683959000000044 40.7519739999999970, -73.9679038000000020 40.7517767000000006, -73.9678576000000021 40.7518804999999986, -73.9677939000000038 40.7520285000000015, -73.9698039999999963 40.7528639000000013, -73.9699119999999937 40.7527259000000015, -73.9699791999999974 40.7526398999999984), (-73.9682155999999935 40.7520695999999987, -73.9681850999999995 40.7521106000000017, -73.9681161000000031 40.7520808000000017, -73.9681465999999972 40.7520398999999998, -73.9682155999999935 40.7520695999999987))"
WEST END AVENUE,"POLYGON ((-73.9882887981981980 40.7721080999999970, -73.9882974743663624 40.7719314925399416, -73.9883234193145967 40.7717565859062745, -73.9883663831788567 40.7715850645454836, -73.9884259521936798 40.7714185803020399, -73.9885015526768512 40.7712587365102195, -73.9885924565544144 40.7711070725531144, -73.9886977883723205 40.7709650490375424, -73.9888165337276007 40.7708340337275885, -73.9889475490375474 40.7707152883723154, -73.9890895725531266 40.7706099565544093, -73.9892412365102246 40.7705190526768462, -73.9894010803020450 40.7704434521936676, -73.9895675645454958 40.7703838831788588, -73.9897390859062796 40.7703409193145845, -73.9899139925399538 40.7703149743663502, -73.9900906000000020 40.7703062981981930, -73.9902672074600503 40.7703149743663502, -73.9904421140937245 40.7703409193145845, -73.9906136354545083 40.7703838831788588, -73.9907801196979591 40.7704434521936676, -73.9909399634897795 40.7705190526768462, -73.9910916274468775 40.7706099565544093, -73.9912336509624566 40.7707152883723154, -73.9913646662724034 40.7708340337275885, -73.9914834116276836 40.7709650490375424, -73.9915887434455897 40.7711070725531144, -73.9916796473231528 40.7712587365102195, -73.9917552478063243 40.7714185803020399, -73.9918148168211474 40.7715850645454836, -73.9918577806854074 40.7717565859062745, -73.9918837256336417 40.7719314925399416, -73.9918924018018060 40.7721080999999970, -73.9918837256336417 40.7722847074600523, -73.9918577806854074 40.7724596140937194, -73.9918148168211474 40.7726311354545103, -73.9917552478063243 40.7727976196979540, -73.9916796473231528 40.7729574634897745, -73.9915887434455897 40.7731091274468795, -73.9914834116276836 40.7732511509624516, -73.9913646662724034 40.7733821662724054, -73.9912336509624566 40.7735009116276785, -73.9910916274468775 40.7736062434455846, -73.9909399634897795 40.7736971473231478, -73.9907801196979591 40.7737727478063263, -73.9906136354545083 40.7738323168211352, -73.9904421140937245 40.7738752806854095, -73.9902672074600503 40.7739012256336437, -73.9900906000000020 40.7739099018018010, -73.9899139925399538 40.7739012256336437, -73.9897390859062796 40.7738752806854095, -73.9895675645454958 40.7738323168211352, -73.9894010803020450 40.7737727478063263, -73.9892412365102246 40.7736971473231478, -73.9890895725531266 40.7736062434455846, -73.9889475490375474 40.7735009116276785, -73.9888165337276007 40.7733821662724054, -73.9886977883723205 40.7732511509624516, -73.9885924565544144 40.7731091274468795, -73.9885015526768512 40.7729574634897745, -73.9884259521936798 40.7727976196979540, -73.9883663831788567 40.7726311354545103, -73.9883234193145967 40.7724596140937194, -73.9882974743663624 40.7722847074600523, -73.9882887981981980 40.7721080999999970))"
EAST    6 STREET,"POLYGON ((-77.5895389981981936 43.1500783999999982, -77.5895476743663579 43.1499017925399428, -77.5895736193145922 43.1497268859062757, -77.5896165831788522 43.1495553645454848, -77.5896761521936753 43.1493888803020411, -77.5897517526768468 43.1492290365102207, -77.5898426565544099 43.1490773725531156, -77.5899479883723160 43.1489353490375436, -77.5900667337275962 43.1488043337275897, -77.5901977490375430 43.1486855883723166, -77.5903397725531221 43.1485802565544105, -77.5904914365102201 43.1484893526768474, -77.5906512803020405 43.1484137521936688, -77.5908177645454913 43.1483541831788600, -77.5909892859062751 43.1483112193145857, -77.5911641925399493 43.1482852743663514, -77.5913407999999976 43.1482765981981942, -77.5915174074600458 43.1482852743663514, -77.5916923140937200 43.1483112193145857, -77.5918638354545038 43.1483541831788600, -77.5920303196979546 43.1484137521936688, -77.5921901634897750 43.1484893526768474, -77.5923418274468730 43.1485802565544105, -77.5924838509624522 43.1486855883723166, -77.5926148662723989 43.1488043337275897, -77.5927336116276791 43.1489353490375436, -77.5928389434455852 43.1490773725531156, -77.5929298473231484 43.1492290365102207, -77.5930054478063198 43.1493888803020411, -77.5930650168211429 43.1495553645454848, -77.5931079806854029 43.1497268859062757, -77.5931339256336372 43.1499017925399428, -77.5931426018018016 43.1500783999999982, -77.5931339256336372 43.1502550074600535, -77.5931079806854029 43.1504299140937206, -77.5930650168211429 43.1506014354545115, -77.5930054478063198 43.1507679196979552, -77.5929298473231484 43.1509277634897757, -77.5928389434455852 43.1510794274468807, -77.5927336116276791 43.1512214509624528, -77.5926148662723989 43.1513524662724066, -77.5924838509624522 43.1514712116276797, -77.5923418274468730 43.1515765434455858, -77.5921901634897750 43.1516674473231490, -77.5920303196979546 43.1517430478063275, -77.5918638354545038 43.1518026168211364, -77.5916923140937200 43.1518455806854107, -77.5915174074600458 43.1518715256336449, -77.5913407999999976 43.1518802018018022, -77.5911641925399493 43.1518715256336449, -77.5909892859062751 43.1518455806854107, -77.5908177645454913 43.1518026168211364, -77.5906512803020405 43.1517430478063275, -77.5904914365102201 43.1516674473231490, -77.5903397725531221 43.1515765434455858, -77.5901977490375430 43.1514712116276797, -77.5900667337275962 43.1513524662724066, -77.5899479883723160 43.1512214509624528, -77.5898426565544099 43.1510794274468807, -77.5897517526768468 43.1509277634897757, -77.5896761521936753 43.1507679196979552, -77.5896165831788522 43.1506014354545115, -77.5895736193145922 43.1504299140937206, -77.5895476743663579 43.1502550074600535, -77.5895389981981936 43.1500783999999982))"
WEST   62 STREET,"POLYGON ((-73.9837759981981975 40.7720087000000007, -73.9837846743663619 40.7718320925399453, -73.9838106193145961 40.7716571859062782, -73.9838535831788562 40.7714856645454873, -73.9839131521936793 40.7713191803020436, -73.9839887526768507 40.7711593365102232, -73.9840796565544139 40.7710076725531181, -73.9841849883723199 40.7708656490375461, -73.9843037337276002 40.7707346337275922, -73.9844347490375469 40.7706158883723191, -73.9845767725531260 40.7705105565544130, -73.9847284365102240 40.7704196526768499, -73.9848882803020444 40.7703440521936713, -73.9850547645454952 40.7702844831788624, -73.9852262859062790 40.7702415193145882, -73.9854011925399533 40.7702155743663539, -73.9855778000000015 40.7702068981981967, -73.9857544074600497 40.7702155743663539, -73.9859293140937240 40.7702415193145882, -73.9861008354545078 40.7702844831788624, -73.9862673196979586 40.7703440521936713, -73.9864271634897790 40.7704196526768499, -73.9865788274468770 40.7705105565544130, -73.9867208509624561 40.7706158883723191, -73.9868518662724028 40.7707346337275922, -73.9869706116276831 40.7708656490375461, -73.9870759434455891 40.7710076725531181, -73.9871668473231523 40.7711593365102232, -73.9872424478063238 40.7713191803020436, -73.9873020168211468 40.7714856645454873, -73.9873449806854069 40.7716571859062782, -73.9873709256336411 40.7718320925399453, -73.9873796018018055 40.7720087000000007, -73.9873709256336411 40.7721853074600560, -73.9873449806854069 40.7723602140937231, -73.9873020168211468 40.7725317354545140, -73.9872424478063238 40.7726982196979577, -73.9871668473231523 40.7728580634897781, -73.9870759434455891 40.7730097274468832, -73.9869706116276831 40.7731517509624553, -73.9868518662724028 40.7732827662724091, -73.9867208509624561 40.7734015116276822, -73.9865788274468770 40.7735068434455883, -73.9864271634897790 40.7735977473231515, -73.9862673196979586 40.7736733478063300, -73.9861008354545078 40.7737329168211389, -73.9859293140937240 40.7737758806854131, -73.9857544074600497 40.7738018256336474, -73.9855778000000015 40.7738105018018047, -73.9854011925399533 40.7738018256336474, -73.9852262859062790 40.7737758806854131, -73.9850547645454952 40.7737329168211389, -73.9848882803020444 40.7736733478063300, -73.9847284365102240 40.7735977473231515, -73.9845767725531260 40.7735068434455883, -73.9844347490375469 40.7734015116276822, -73.9843037337276002 40.7732827662724091, -73.9841849883723199 40.7731517509624553, -73.9840796565544139 40.7730097274468832, -73.9839887526768507 40.7728580634897781, -73.9839131521936793 40.7726982196979577, -73.9838535831788562 40.7725317354545140, -73.9838106193145961 40.7723602140937231, -73.9837846743663619 40.7721853074600560, -73.9837759981981975 40.7720087000000007))"
Imperial Theatre,"POLYGON ((-73.9874508000000048 40.7588550999999981, -73.9874188000000004 40.7588417999999990, -73.9873874000000029 40.7588289999999986, -73.9872280999999958 40.7590476000000024, -73.9872081000000037 40.7590745999999982, -73.9870152000000019 40.7589933000000002, -73.9868366999999978 40.7592388999999997, -73.9871945000000011 40.7593885000000000, -73.9873730999999992 40.7591443999999967, -73.9872710000000069 40.7591010000000011, -73.9874434000000036 40.7588652000000025, -73.9874508000000048 40.7588550999999981))"
