full_name,place_id,google_name,address,phone,lat,lon,cuisine_keyword,image_url,grid_id,rating,review_count,price_level,opening_hour,wheelchair_friendly,inspection_date,inspection_grade,cuisine_type,amenities
"D.J. Reynolds, 351 West 57 Street",ChIJ03By9lhYwokRfGgIPEcxNlM,D.J. Reynolds,"351 W 57th St, New York, NY 10019, USA",(+1) 212-245-2912,40.767325711553,-73.984310423617,"[{'alias': 'irish', 'title': 'Irish'}, {'alias': 'pubs', 'title': 'Pubs'}]",https://s3-media3.fl.yelpcdn.com/bphoto/pQdi2IkryUuoAsEzbMnJyw/o.jpg,M-0494,4.3,540.0,$$,"{'Monday': ['14:30–04:00'], 'Tuesday': ['14:30–04:00'], 'Wednesday': ['14:30–04:00'], 'Thursday': ['14:30–04:00'], 'Friday': ['11:00–04:00'], 'Saturday': ['11:00–04:00'], 'Sunday': ['11:00–04:00']}",0.0,2025-02-20,A,Irish,
"1 East 66Th Street Kitchen, 1 East 66 Street",ChIJYdHIa-lYwokRmeZUvOoldMo,165 East 66 by Stonehenge,"165 E 66th St, New York, NY 10065, USA",(+1) 212-879-3900,40.768546914232,-73.969580578452,,,M-0519,5.0,2.0,,"{'Monday': ['09:00–17:00'], 'Tuesday': ['09:00–17:00'], 'Wednesday': ['09:00–17:00'], 'Thursday': ['09:00–17:00'], 'Friday': ['09:00–17:00'], 'Saturday': [], 'Sunday': []}",0.0,2022-05-03,A,American,
"P & S Deli Grocery, 730 Columbus Avenue",ChIJ10yifCf2wokRDiZPK-60xM8,Paul Saini Deli Grocery,"724 Columbus Ave, New York, NY 10025, USA",(+1) 212-932-3030,40.792620635885,-73.96770961573,"[{'alias': 'delis', 'title': 'Delis'}]",,M-0727,4.1,82.0,,"{'Monday': ['06:00–23:00'], 'Tuesday': ['06:00–23:00'], 'Wednesday': ['06:00–23:00'], 'Thursday': ['06:00–23:00'], 'Friday': ['06:00–23:00'], 'Saturday': ['06:00–23:00'], 'Sunday': ['06:00–23:00']}",0.0,2025-03-27,A,American,
"Angelika Film Center, 18 West Houston Street",ChIJQ1RTt49ZwokRgYgqG6DdK2w,Angelika Film Center & Cafe - New York,"18 W Houston St, New York, NY 10012, USA",(+1) 212-995-2570,40.725743617441,-73.997478107592,"[{'alias': 'movietheaters', 'title': 'Cinema'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'bars', 'title': 'Bars'}]",https://s3-media3.fl.yelpcdn.com/bphoto/N4j90aACoWkzhf2GeiV_3g/o.jpg,M-0184,4.4,2058.0,$$,"{'Monday': ['10:00–23:00'], 'Tuesday': ['10:00–23:00'], 'Wednesday': ['10:00–23:00'], 'Thursday': ['10:00–23:00'], 'Friday': ['10:00–00:00'], 'Saturday': ['10:00–00:00'], 'Sunday': ['10:00–23:00']}",0.0,2023-06-21,A,American,
"Cafe Metro, 625 8 Avenue",ChIJQzxNYepZwokRCYqnc_ftZcc,Cafe Metro,"625 8th Ave, New York, NY 10018, USA",(+1) 212-714-9342,40.756185423077,-73.990564733785,,,M-0390,2.9,9.0,,,0.0,2025-05-01,A,American,
"Miss Maime'S Spoonbread Too, 364 West 110 Street",ChIJMy2SSj32wokRYJFmKli4HvA,Miss Mamie's Spoonbread Too,"366 W 110th St, New York, NY 10025, USA",(+1) 212-865-6744,40.80137126967,-73.96015994361,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",https://s3-media2.fl.yelpcdn.com/bphoto/6FYjzJZCsKn__95CewXJQg/o.jpg,M-0818,4.0,468.0,$$,"{'Monday': [], 'Tuesday': ['14:30–20:30'], 'Wednesday': ['14:30–20:30'], 'Thursday': ['14:30–20:30'], 'Friday': ['14:30–20:30'], 'Saturday': ['14:30–20:30'], 'Sunday': ['14:30–20:30']}",0.0,2024-07-10,A,Soul Food,
"Metropolitan Club, 1 East 60 Street",ChIJ2bi4I_BYwokRRvRWXH7TUDw,Metropolitan Club,"1 E 60th St, New York, NY 10022, USA",(+1) 212-838-7400,40.764795521845,-73.97230783434,,,M-0477,4.7,334.0,,"{'Monday': [], 'Tuesday': [], 'Wednesday': [], 'Thursday': [], 'Friday': [], 'Saturday': [], 'Sunday': []}",0.0,2024-12-04,A,Continental,
"Isle Of Capri Resturant, 1028 3 Avenue",ChIJpRVGV-9YwokRHnDd6TD7qxQ,Isle of Capri,"1028 3rd Ave, New York, NY 10065, USA",(+1) 212-758-1902,40.76270773611,-73.965749576014,"[{'alias': 'italian', 'title': 'Italian'}]",https://s3-media2.fl.yelpcdn.com/bphoto/IVhVHlRHzT6l0bKQ2HnDrg/o.jpg,M-0459,4.5,507.0,$$$,"{'Monday': ['11:30–22:00'], 'Tuesday': ['11:30–22:00'], 'Wednesday': ['11:30–22:00'], 'Thursday': ['11:30–22:00'], 'Friday': ['11:30–22:00'], 'Saturday': ['11:30–22:00'], 'Sunday': []}",0.0,2024-09-10,,Italian,
"Old Town Bar & Restaurant, 45 East 18 Street",ChIJw-9BIqJZwokRJHawGH7Y_kc,Old Town Bar,"45 E 18th St, New York, NY 10003, USA",(+1) 212-529-6732,40.73759507351,-73.989647208522,"[{'alias': 'tradamerican', 'title': 'American'}, {'alias': 'bars', 'title': 'Bars'}]",https://s3-media2.fl.yelpcdn.com/bphoto/xeI64f-iBsz9m0mPN3411g/o.jpg,M-0259,4.4,1638.0,$$,"{'Monday': ['11:30–00:00'], 'Tuesday': ['11:30–00:30'], 'Wednesday': ['11:30–00:30'], 'Thursday': ['11:30–00:30'], 'Friday': ['11:30–00:30'], 'Saturday': ['11:30–00:30'], 'Sunday': ['12:00–22:00']}",0.0,2025-02-26,A,American,
"Sevilla Restaurant, 62 Charles Street",ChIJpx2fW5RZwokRge-7dBOrTSQ,Sevilla,"62 Charles St, New York, NY 10014, USA",(+1) 212-929-3189,40.734908378121,-74.00297328507,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",https://s3-media2.fl.yelpcdn.com/bphoto/gOEXxrGa_TfjEnCiPedLQw/o.jpg,M-0241,4.3,1232.0,$$,"{'Monday': [], 'Tuesday': [], 'Wednesday': ['13:00–21:00'], 'Thursday': ['13:00–21:00'], 'Friday': ['13:00–22:00'], 'Saturday': ['13:00–22:00'], 'Sunday': ['13:00–21:00']}",0.0,2023-05-17,A,Latin American,
