lat,lon,processed,new_records,error
40.7,-74.02,True,20,
40.7,-74.015,True,132,
40.7,-74.01,True,15,
40.7,-74.005,True,7,
40.7,-74.0,True,38,
40.7,-73.995,True,83,
40.7,-73.99,True,45,
40.7,-73.985,True,6,
40.7,-73.98,True,6,
40.7,-73.975,True,13,
40.7,-73.97,True,11,
40.7,-73.965,True,8,
40.7,-73.96,True,18,
40.7,-73.955,True,16,
40.7,-73.95,True,44,
40.7,-73.945,True,81,
40.7,-73.94,True,71,
40.7,-73.935,True,53,
40.7,-73.93,True,81,Too many results: likely to exceed 240 limit
40.7,-73.925,True,81,Too many results: likely to exceed 240 limit
40.705,-74.02,True,33,
40.705,-74.015,True,33,Too many results: likely to exceed 240 limit
40.705,-74.01,True,41,Too many results: likely to exceed 240 limit
40.705,-74.005,True,109,Too many results: likely to exceed 240 limit
40.705,-74.0,True,72,
40.705,-73.995,True,0,
40.705,-73.99,True,1,
40.705,-73.985,True,0,
40.705,-73.98,True,0,
40.705,-73.975,True,3,
40.705,-73.97,True,8,
40.705,-73.965,True,36,
40.705,-73.96,True,22,
40.705,-73.955,True,26,
40.705,-73.95,True,25,
40.705,-73.945,True,28,
40.705,-73.94,True,9,
40.705,-73.935,True,13,
40.705,-73.93,True,15,
40.705,-73.925,True,54,Too many results: likely to exceed 240 limit
40.71,-74.02,True,51,
40.71,-74.015,True,98,Too many results: likely to exceed 240 limit
40.71,-74.01,True,49,Too many results: likely to exceed 240 limit
40.71,-74.005,True,21,Too many results: likely to exceed 240 limit
40.71,-74.0,True,85,Too many results: likely to exceed 240 limit
40.71,-73.995,True,110,Too many results: likely to exceed 240 limit
40.71,-73.99,True,56,
40.71,-73.985,True,12,
40.71,-73.98,True,1,
40.71,-73.975,True,4,
40.71,-73.97,True,49,
40.71,-73.965,True,98,
40.71,-73.96,True,43,Too many results: likely to exceed 240 limit
40.71,-73.955,True,65,Too many results: likely to exceed 240 limit
40.71,-73.95,True,68,Too many results: likely to exceed 240 limit
40.71,-73.945,True,47,Too many results: likely to exceed 240 limit
40.71,-73.94,True,22,
40.71,-73.935,True,2,
40.71,-73.93,True,5,
40.71,-73.925,True,11,
40.715,-74.02,True,1,
40.715,-74.015,True,96,Too many results: likely to exceed 240 limit
40.715,-74.01,True,74,Too many results: likely to exceed 240 limit
40.715,-74.005,True,43,Too many results: likely to exceed 240 limit
40.715,-74.0,True,123,Too many results: likely to exceed 240 limit
40.715,-73.995,True,44,Too many results: likely to exceed 240 limit
40.715,-73.99,True,76,Too many results: likely to exceed 240 limit
40.715,-73.985,True,86,Too many results: likely to exceed 240 limit
40.715,-73.98,True,21,
40.715,-73.975,True,0,
40.715,-73.97,True,19,
40.715,-73.965,True,44,Too many results: likely to exceed 240 limit
40.715,-73.96,True,43,Too many results: likely to exceed 240 limit
40.715,-73.955,True,37,Too many results: likely to exceed 240 limit
40.715,-73.95,True,29,Too many results: likely to exceed 240 limit
40.715,-73.945,True,10,Too many results: likely to exceed 240 limit
40.715,-73.94,True,3,
40.715,-73.935,True,0,
40.715,-73.93,True,0,
40.715,-73.925,True,2,
40.72,-74.02,True,0,
40.72,-74.015,True,41,
40.72,-74.01,True,77,Too many results: likely to exceed 240 limit
40.72,-74.005,True,63,Too many results: likely to exceed 240 limit
40.72,-74.0,True,119,Too many results: likely to exceed 240 limit
40.72,-73.995,True,120,Too many results: likely to exceed 240 limit
40.72,-73.99,True,162,Too many results: likely to exceed 240 limit
40.72,-73.985,True,59,Too many results: likely to exceed 240 limit
