full_name,day,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
ANGELIKA FILM CENTER 18 WEST HOUSTON STREET,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ANGELIKA FILM CENTER 18 WEST HOUSTON STREET,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ANGELIKA FILM CENTER 18 WEST HOUSTON STREET,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ANGELIKA FILM CENTER 18 WEST HOUSTON STREET,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ANGELIKA FILM CENTER 18 WEST HOUSTON STREET,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGELIKA FILM CENTER 18 WEST HOUSTON STREET,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGELIKA FILM CENTER 18 WEST HOUSTON STREET,6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SHUN LEE PALACE RESTAURANT 155 EAST   55 STREET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHUN LEE PALACE RESTAURANT 155 EAST   55 STREET,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0
SHUN LEE PALACE RESTAURANT 155 EAST   55 STREET,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0
SHUN LEE PALACE RESTAURANT 155 EAST   55 STREET,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0
SHUN LEE PALACE RESTAURANT 155 EAST   55 STREET,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0
SHUN LEE PALACE RESTAURANT 155 EAST   55 STREET,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
SHUN LEE PALACE RESTAURANT 155 EAST   55 STREET,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0
"SALUMERIA BEILLESE, BIRICCHINO REST 378 8 AVENUE",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"SALUMERIA BEILLESE, BIRICCHINO REST 378 8 AVENUE",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"SALUMERIA BEILLESE, BIRICCHINO REST 378 8 AVENUE",2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"SALUMERIA BEILLESE, BIRICCHINO REST 378 8 AVENUE",3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"SALUMERIA BEILLESE, BIRICCHINO REST 378 8 AVENUE",4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"SALUMERIA BEILLESE, BIRICCHINO REST 378 8 AVENUE",5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"SALUMERIA BEILLESE, BIRICCHINO REST 378 8 AVENUE",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERIYALI 35 WEST   20 STREET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
PERIYALI 35 WEST   20 STREET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
PERIYALI 35 WEST   20 STREET,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
PERIYALI 35 WEST   20 STREET,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
PERIYALI 35 WEST   20 STREET,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERIYALI 35 WEST   20 STREET,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERIYALI 35 WEST   20 STREET,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
LA NUEVA VICTORIA RESTAURANT 2536 BROADWAY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
LA NUEVA VICTORIA RESTAURANT 2536 BROADWAY,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
LA NUEVA VICTORIA RESTAURANT 2536 BROADWAY,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
LA NUEVA VICTORIA RESTAURANT 2536 BROADWAY,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
LA NUEVA VICTORIA RESTAURANT 2536 BROADWAY,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LA NUEVA VICTORIA RESTAURANT 2536 BROADWAY,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
LA NUEVA VICTORIA RESTAURANT 2536 BROADWAY,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
E.J'S LUNCHEONETTE 1271 THIRD AVENUE,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
E.J'S LUNCHEONETTE 1271 THIRD AVENUE,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
E.J'S LUNCHEONETTE 1271 THIRD AVENUE,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
E.J'S LUNCHEONETTE 1271 THIRD AVENUE,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
E.J'S LUNCHEONETTE 1271 THIRD AVENUE,4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
