place_id,day,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
ChIJ03By9lhYwokRfGgIPEcxNlM,Monday,28,28,36,38,0,0,0,0,0,0,0,0,0,0,47,50,47,52,49,46,52,66,63,49
ChIJ03By9lhYwokRfGgIPEcxNlM,Tuesday,40,38,36,29,0,0,0,0,0,0,0,0,0,0,26,39,46,66,60,63,54,57,61,49
ChIJ03By9lhYwokRfGgIPEcxNlM,Wednesday,38,35,36,47,0,0,0,0,0,0,0,0,0,0,36,45,52,52,39,35,45,61,81,71
ChIJ03By9lhYwokRfGgIPEcxNlM,Thursday,54,33,28,30,0,0,0,0,0,0,0,0,0,0,26,30,50,73,90,87,73,67,70,70
ChIJ03By9lhYwokRfGgIPEcxNlM,Friday,63,54,40,28,0,0,0,0,0,0,0,61,64,70,61,61,69,85,90,91,92,97,100,98
ChIJ03By9lhYwokRfGgIPEcxNlM,Saturday,77,61,42,33,0,0,0,0,0,0,0,26,29,38,45,50,54,69,80,87,85,76,66,66
ChIJ03By9lhYwokRfGgIPEcxNlM,Sunday,52,43,40,50,0,0,0,0,0,0,0,43,47,50,50,60,61,60,57,53,47,40,30,26
ChIJRdi1GaxZwokR3vmYZ_GDcSM,Monday,0,0,0,0,0,0,24,45,69,82,83,74,64,53,41,34,30,28,26,27,23,16,0,0
ChIJRdi1GaxZwokR3vmYZ_GDcSM,Tuesday,0,0,0,0,0,0,23,48,70,82,80,74,67,58,50,42,38,37,33,25,16,9,0,0
ChIJRdi1GaxZwokR3vmYZ_GDcSM,Wednesday,0,0,0,0,0,0,26,49,72,85,84,76,68,57,44,34,31,31,31,27,25,19,0,0
ChIJRdi1GaxZwokR3vmYZ_GDcSM,Thursday,0,0,0,0,0,0,29,52,79,98,96,83,72,58,46,34,33,29,29,27,26,20,0,0
ChIJRdi1GaxZwokR3vmYZ_GDcSM,Friday,0,0,0,0,0,0,24,50,80,98,100,87,73,59,47,37,34,33,29,27,25,21,16,0
ChIJRdi1GaxZwokR3vmYZ_GDcSM,Saturday,0,0,0,0,0,0,0,43,71,92,95,85,70,54,43,35,32,33,33,29,22,16,11,0
ChIJRdi1GaxZwokR3vmYZ_GDcSM,Sunday,0,0,0,0,0,0,0,39,69,91,93,88,73,56,40,30,25,25,25,24,23,23,16,0
