OBJECTID,RecordID,Name,Address_Line_1,Address_Line_2,Borough,Cuisine
2,50126747,"U"" LIKE CHINESE TAKE OUT""",4926 BROADWAY,"New York, NY 10034",Manhattan,Chinese
3,50136066,THE ONE CLUB,1 WALL STREET,"New York, NY 10005",Manhattan,Mediterranean
4,50018480,"W"" CAFE""",390 5 AVENUE,"New York, NY 10018",Manhattan,American 
5,50115654,10TH FL FOOD HALL ( DEUTSCHE BANK CAFE),10 COLUMBUS CIRCLE,"New York, NY 10019",Manhattan,American 
7,50112530,11:11 RESTAURANT LOUNGE,3964 10 AVENUE,"New York, NY 10034",Manhattan,Other
8,50117047,$1 PIZZA,333B AVENUE OF THE AMERICAS,"New York, NY 10014",Manhattan,Pizza
12,50093325,& PIZZA,63 WALL STREET,"New York, NY 10005",Manhattan,Pizza
14,50130973,16 Handles,325 AMSTERDAM AVENUE,"New York, NY 10023",Manhattan,Frozen Desserts
19,50115677,10TH FL CATERING,10 COLUMBUS CIRCLE,"New York, NY 10019",Manhattan,American 
22,50115657,11TH FL CLIENT DINING,10 COLUMBUS CIRCLE,"New York, NY 10019",Manhattan,American 
23,50121356,16TH FLOOR CAFE,320 PARK AVENUE,"New York, NY 10022",Manhattan,Other
24,50113240,3 TIMES,38 WATER STREET,"New York, NY 10004",Manhattan,Asian/Asian Fusion
25,50110715,123 MARKET PLACE,123 WILLIAM STREET,"New York, NY 10038",Manhattan,Asian/Asian Fusion
30,50059935,108 FOOD DRIED HOT POT,2794 BROADWAY,"New York, NY 10025",Manhattan,Chinese
31,50113589,375 CHICKEN N FRIES,649 9 AVENUE,"New York, NY 10036",Manhattan,Chicken
33,50044708,21 BAR,4318 BROADWAY,"New York, NY 10033",Manhattan,American 
35,50118526,2 BRYANT PARK CDR,1100 AVENUE OF THE AMERICAS,"New York, NY 10036",Manhattan,American 
36,50106822,21 GREENPOINT,30 ROCKEFELLER PLAZA,"New York, NY 10112",Manhattan,Tex-Mex
37,50088380,123 Burger Shot Beer,712 WEST  125 STREET,"New York, NY 10027",Manhattan,American 
40,50128888,180 BAR,4241 BROADWAY,"New York, NY 10033",Manhattan,Latin American
41,50091455,272 UPTOWN PIZZA,272 WEST  135 STREET,"New York, NY 10030",Manhattan,Pizza
42,50114109,2 BROS PIZZA / CARMENS KITCHEN,72 NASSAU STREET,"New York, NY 10038",Manhattan,Spanish
45,50114428,53,53 WEST   53 STREET,"New York, NY 10019",Manhattan,Asian/Asian Fusion
48,50113364,301 1ST AVE DORM,301 1 AVENUE,"New York, NY 10003",Manhattan,American 
53,50054535,THE COCK NYC,93 2 AVENUE,"New York, NY 10003",Manhattan,American 
54,50093886,220 CENTRAL PARK SOUTH,220 CENTRAL PARK SOUTH,"New York, NY 10019",Manhattan,American 
58,50134736,:3 COFFEE,29 WEST   21 STREET,"New York, NY 10010",Manhattan,Coffee/Tea
59,50100172,277 PARK AVENUE CAFE',277 PARK AVENUE,"New York, NY 10172",Manhattan,American 
60,50117652,5 OCLOCK SOMEWHERE,560 7 AVENUE,"New York, NY 10018",Manhattan,American 
64,50113322,3 TIMES,818 BROADWAY,"New York, NY 10003",Manhattan,Asian/Asian Fusion
65,50130331,5IVE SPICE,363 3 AVENUE,"New York, NY 10016",Manhattan,Southeast Asian
69,50125950,5 ESTRELLAS BAKERY AND RESTAURANT,3451 BROADWAY,"New York, NY 10031",Manhattan,Spanish
70,50110148,161 LAFAYETTE,161 LAFAYETTE STREET,"New York, NY 10013",Manhattan,Bottled Beverages
74,50117066,4 BOY 99 CENT PIZZA,252 WEST   31 STREET,"New York, NY 10001",Manhattan,Pizza
78,50120873,787 COFFEE CO,72 THOMPSON STREET,"New York, NY 10012",Manhattan,Coffee/Tea
80,50108087,5IVE SPICE,227 MULBERRY STREET,"New York, NY 10012",Manhattan,Asian/Asian Fusion
83,50118814,6TH FLOOR CAFE,250 VESEY STREET,"New York, NY 10281",Manhattan,American 
88,50120779,787 COFFEE,93 WORTH STREET,"New York, NY 10013",Manhattan,Coffee/Tea
89,50107446,5C Cafe,68 AVENUE C,"New York, NY 10009",Manhattan,Other
91,50123820,787 COFFEE,310 WEST   14 STREET,"New York, NY 10014",Manhattan,Coffee/Tea
92,50104959,7 ELEPHANTS,221 EAST BROADWAY,"New York, NY 10002",Manhattan,Thai
93,50136293,787 COFFEE ROASTERS,251 WEST   30 STREET,"New York, NY 10001",Manhattan,Coffee/Tea
94,50095342,787 COFFEE ROASTERS,101 2 AVENUE,"New York, NY 10003",Manhattan,Coffee/Tea
97,50069252,72 CIBAO RESTAURANT,72 CLINTON STREET,"New York, NY 10002",Manhattan,Latin American
98,50115163,8282,84 STANTON STREET,"New York, NY 10002",Manhattan,Korean
100,50100388,77 WEST BISTRO,77 WEST   66 STREET,"New York, NY 10023",Manhattan,American 
103,50107622,787 COFFEE,340 EAST   70 STREET,"New York, NY 10021",Manhattan,Coffee/Tea
107,50036292,A LA MODE SHOPPE,360 EAST   55 STREET,"New York, NY 10022",Manhattan,Frozen Desserts
109,50139385,8-BIT BITES,197 7 AVENUE,"New York, NY 10011",Manhattan,American 
110,50135943,A-JIAO SICHUAN CUISINE,1817 2 AVENUE,"New York, NY 10128",Manhattan,Chinese
111,50079290,886,26 SAINT MARKS PLACE,"New York, NY 10003",Manhattan,Asian/Asian Fusion
112,50127389,A.R.T SoHo (ROOFTOP),2 RENWICK STREET,"New York, NY 10013",Manhattan,Other
114,50124784,9 JONES,9 JONES STREET,"New York, NY 10014",Manhattan,Greek
115,50131131,ABITINO'S PIZZA,707 2 AVENUE,"New York, NY 10016",Manhattan,Pizza
124,50106402,99C PIZZA,246 EAST   14 STREET,"New York, NY 10003",Manhattan,Pizza
125,50115682,6TH FL TRADER CAFE,10 COLUMBUS CIRCLE,"New York, NY 10019",Manhattan,Coffee/Tea
126,50132389,888 HUDSON THAI,812 WEST  181 STREET,"New York, NY 10033",Manhattan,Thai
127,50136221,ABITINO'S PIZZA,5 WEST   51 STREET,"New York, NY 10019",Manhattan,Pizza
129,50014520,7 GRAMS CAFFE,275 7 AVENUE,"New York, NY 10001",Manhattan,Coffee/Tea
141,50117774,AHIMSA,204 EAST   38 STREET,"New York, NY 10016",Manhattan,Indian
145,50117133,AGATA & VALENTINA,1513 1 AVENUE,"New York, NY 10075",Manhattan,Sandwiches/Salads/Mixed Buffet
151,50106619,AJISAI JAPANESE FUSION,795 LEXINGTON AVENUE,"New York, NY 10065",Manhattan,Japanese
153,50123999,ALAMO DRAFTHOUSE CINEMAS,28 LIBERTY STREET,"New York, NY 10005",Manhattan,American 
